image_path,instruction,description,input
007934.jpg,Provide a detailed and accurate description of the image within 50 words.,A woodpecker with black and white feathers and a red head sits on a branch. its head is turned and its beak is open slightly. the background is a blue sky and a silhouetted tree branch.,"label_boundingbox:{bird: {'xyxy': {'Left': 0, 'Top': 152, 'Right': 320, 'Bottom': 465}}},
caption:a bird in a tree.,
image_embedding:[-1.5, -0.81, 0.06, 0.13, 0.52, 0.03, -0.24, 0.75, 0.75, -0.12, 0.95, -0.7, -0.55, 0.73, -0.19, -0.17, 0.32, -0.8, -0.48, 0.41, -0.69, -0.97, -0.33, -0.67, -0.06, 0.78, -0.57, -0.02, 0.35, 0.35, -0.27, 1.0, 0.42, -0.41, -0.43, 0.51, 0.51, 0.95, -0.15, 0.0, -0.86, 1.12, 0.14, 1.08, -4.49, -0.11, -0.72, 0.08, 0.3, 0.61, 0.21, -0.62, 0.53, 0.28, 0.01, 0.83, 0.16, -0.41, -0.04, 0.04, 0.41, 1.11, -0.78, 0.04]"
006890.jpg,Provide a detailed and accurate description of the image within 50 words.,"A classic car from the 50s or 60s is parked on the side of the road, partially obscured by some trees. the photo is in black and white, giving it a vintage feel. the car is slightly angled, with the front end  most visible.","label_boundingbox:{car: {'xyxy': {'Left': 1, 'Top': 36, 'Right': 500, 'Bottom': 307}}},
caption:an old car parked on the side of the road,
image_embedding:[-0.36, 0.48, -0.49, -1.65, 0.74, -0.11, 0.22, 0.92, -0.09, 0.52, 0.51, -0.32, -1.22, 1.32, 1.55, 0.16, 0.65, -0.16, -0.04, -0.22, -0.17, -0.12, -0.26, -0.24, -0.13, -0.48, -0.26, -0.19, 0.2, 0.27, -0.52, 0.47, -0.79, 0.33, -0.19, -0.46, 0.43, 0.85, 1.24, 0.01, 0.08, -0.18, 0.35, 0.28, -2.98, 0.57, -0.23, 0.41, 0.75, -0.42, 0.16, -0.23, -0.19, 0.16, -0.04, -0.01, 0.28, -0.98, -0.44, 0.05, -0.01, 1.46, 0.0, -0.38]"
009608.jpg,Provide a detailed and accurate description of the image within 50 words.,A single bird with gray and white wings flies through a cloudy sky. The bird is facing the camera with its head tilted down.,"label_boundingbox:{bird: {'xyxy': {'Left': 159, 'Top': 69, 'Right': 272, 'Bottom': 219}}},
caption:a bird flying in the sky.,
image_embedding:[-0.01, 0.53, -0.55, -0.04, -0.68, -0.32, 0.02, 0.05, 0.07, 0.9, 0.11, -0.12, -0.08, -0.46, -0.02, -0.56, 0.17, 0.06, 0.09, 0.07, 0.08, -0.63, 0.01, -0.83, -0.0, -1.02, -0.62, -0.2, -0.01, -0.31, -0.79, -0.61, -0.55, 0.02, 0.51, -0.54, -0.27, 0.02, -0.06, -0.03, -0.24, 0.57, 0.24, 0.76, -4.03, 0.68, 0.28, -0.38, 0.69, 0.54, 0.28, 0.12, 0.94, 0.53, 0.47, -0.26, 0.11, -1.01, -0.79, 0.47, -0.79, 0.5, -0.48, -0.46]"
001163.jpg,Provide a detailed and accurate description of the image within 50 words.,"A modern living room with a black leather sofa and two armchairs facing a coffee table. The room is decorated with paintings, a mirror and a modern sculpture. There is a wooden dining table to the left of the couch.","label_boundingbox:{Other Fish: {'xyxy': {'Left': 0, 'Top': 62, 'Right': 14, 'Bottom': 84}},chair: {'xyxy': {'Left': 0, 'Top': 140, 'Right': 76, 'Bottom': 287}},sofa: {'xyxy': {'Left': 47, 'Top': 185, 'Right': 315, 'Bottom': 375}},diningtable: {'xyxy': {'Left': 41, 'Top': 150, 'Right': 244, 'Bottom': 216}}},
caption:a living room,
image_embedding:[1.15, 0.14, -0.02, 0.61, 0.08, 0.21, -0.74, -0.53, -0.01, 0.84, -0.84, -0.24, -0.61, 0.51, -0.46, -0.63, 0.78, -0.01, -0.08, 0.96, -0.41, -0.29, 0.04, -0.07, -0.66, 0.02, 0.2, 0.05, 0.08, 0.94, -0.32, -0.05, -0.6, 0.33, -0.15, -0.78, -0.33, -0.7, -0.48, 0.04, -0.45, 0.02, -0.51, 0.18, -2.18, -0.04, 0.11, -0.49, 0.8, -0.4, 0.44, 0.47, -1.06, 0.68, -0.02, -0.47, -0.57, -0.18, 0.72, -0.08, -0.18, 0.41, 0.23, -0.06]"
005031.jpg,Provide a detailed and accurate description of the image within 50 words.,"Two cyclists race each other on a track.  The cyclist in the foreground wears a red and white jersey and black pants, while the cyclist in the background is wearing white.  Both are leaning into the turn, focused on the finish line.","label_boundingbox:{bicycle: {'xyxy': {'Left': 28, 'Top': 132, 'Right': 198, 'Bottom': 287}},person: {'xyxy': {'Left': 45, 'Top': 37, 'Right': 172, 'Bottom': 250}}},
caption:a person riding a bike.,
image_embedding:[0.21, 0.33, 0.46, 0.0, 0.53, 0.1, -1.29, 0.43, -0.73, 0.01, -0.64, 0.57, -0.59, -0.21, -0.37, -0.33, 0.48, -0.16, 0.32, 0.26, -0.36, -0.25, 0.0, -0.08, -0.0, 0.19, -0.4, 0.0, -0.27, 0.38, -0.58, 0.48, -0.48, -0.26, -0.09, -0.44, 0.02, 1.0, -0.26, -0.86, 0.03, -0.21, 0.12, 0.0, -4.12, -0.36, -0.59, 0.01, 0.23, 0.25, -0.38, 0.96, 0.28, 0.74, -0.32, -0.3, -0.42, 0.56, 0.2, 0.31, 1.0, 0.45, 0.24, -0.11]"
007324.jpg,Provide a detailed and accurate description of the image within 50 words.,"Two cyclists ride on a paved road,  one wearing a black and white jersey and the other a blue jersey. They are riding road bikes with large backpacks on their backs. The road leads into a blurry landscape in the distance.","label_boundingbox:{bicycle: {'xyxy': {'Left': 189, 'Top': 262, 'Right': 500, 'Bottom': 375}},person: {'xyxy': {'Left': 273, 'Top': 97, 'Right': 500, 'Bottom': 375}}},
caption:two men riding bikes on a road.,
image_embedding:[0.08, 0.2, -0.15, -0.05, -0.97, -0.23, 0.09, 1.0, 0.04, 0.57, -1.13, -0.33, 0.5, 0.25, -0.43, -1.15, -0.93, -0.46, 0.54, -0.59, -0.1, -0.01, -0.65, 0.18, -0.05, -0.48, -0.5, 0.79, -0.02, 0.27, 0.1, -0.37, -0.49, -0.07, -0.26, 0.28, -0.06, 0.22, 0.49, 1.25, 0.42, -0.06, -0.1, 0.1, -2.44, 0.13, 0.04, -0.11, -0.3, 0.08, -0.58, -0.5, -0.02, 0.51, -0.72, 0.57, -0.25, 0.17, -0.28, -0.97, -0.02, -0.04, -0.33, -0.88]"
007529.jpg,Provide a detailed and accurate description of the image within 50 words.,A teal bicycle is parked in front of a brick wall. A mural of a woman holding a bucket is painted on the wall. The woman in the mural is wearing a white dress and a white head covering. The word NYO is spray painted on the wall.,"label_boundingbox:{person: {'xyxy': {'Left': 121, 'Top': 62, 'Right': 270, 'Bottom': 486}},bicycle: {'xyxy': {'Left': 37, 'Top': 251, 'Right': 343, 'Bottom': 495}}},
caption:a nun on a bike.,
image_embedding:[-0.48, 0.19, 0.01, 1.15, 0.05, -0.76, -0.1, -0.62, 0.68, 0.45, -0.45, 0.19, 0.66, 0.42, -0.35, -1.22, 0.05, 0.12, 0.46, 0.65, 0.18, 0.45, -0.43, -0.64, 0.71, 0.16, 0.63, -0.01, -0.25, -0.19, 0.63, -0.16, -1.41, 0.12, -1.22, 0.0, 0.62, 0.11, 0.66, 1.14, 0.3, 0.65, 0.39, -0.01, -4.25, 0.35, 0.04, 0.62, -0.19, -0.2, -0.6, 0.08, -0.32, 0.34, -0.0, -0.28, -0.01, -0.75, -0.11, -0.63, -0.2, 0.98, -0.37, 0.08]"
009572.jpg,Provide a detailed and accurate description of the image within 50 words.,A dog with a blue leash sniffs the carpet next to a stuffed toy on a carpeted floor.,"label_boundingbox:{dog: {'xyxy': {'Left': 203, 'Top': 75, 'Right': 338, 'Bottom': 257}}},
caption:a dog in a room.,
image_embedding:[-1.4, -0.16, 1.08, 0.12, 0.51, -0.37, 0.35, 0.1, -0.35, 0.14, -1.14, -0.62, 0.24, -1.0, -0.09, -0.37, 0.98, 0.5, -0.04, 0.17, 0.65, -0.2, 0.34, -0.13, -0.0, 0.11, -0.23, 0.94, -0.27, -0.55, 0.25, -0.3, -1.08, 0.1, -0.22, 0.06, -0.37, 0.62, 0.8, 0.0, -0.11, 0.76, -0.02, -0.05, -1.28, -1.06, -0.77, 0.27, -0.39, 0.31, 0.93, -1.23, 0.34, 0.36, -0.79, -0.2, 0.27, 0.0, -0.38, -0.02, -1.33, 0.12, 0.36, -0.74]"
003192.jpg,Provide a detailed and accurate description of the image within 50 words.,A wooden shelf holds two metal planters overflowing with pink and purple fuchsia flowers. The flowers are cascading over the sides of the planters and hanging down towards the ground. The shelf is mounted to a wooden wall.  A small green birdhouse sits on the shelf.,"label_boundingbox:{pottedplant: {'xyxy': {'Left': 184, 'Top': 86, 'Right': 299, 'Bottom': 236}}},
caption:a plant with pink flowers.,
image_embedding:[-0.37, 0.52, -0.05, 0.03, 0.7, -0.71, -0.36, -0.07, 0.16, -0.45, 0.4, -0.68, -0.75, -0.11, 0.51, 0.62, -0.34, 0.24, -0.58, 0.06, -0.03, -0.25, -0.19, 0.32, 0.06, 0.73, 0.05, 0.68, -0.01, -0.17, -0.49, -0.73, -0.53, -0.86, 0.17, 0.14, 0.19, -0.8, -0.58, -0.2, -0.0, -0.24, -0.26, -0.23, -4.01, 0.43, -1.22, 0.64, -0.79, 0.47, -0.44, 0.04, 0.35, 0.09, 0.01, 0.71, 0.36, -0.31, -0.12, -0.34, 0.13, -0.05, -0.31, 0.3]"
009505.jpg,Provide a detailed and accurate description of the image within 50 words.,A young rider in a blue jacket jumps over a white fence on a brown horse.,"label_boundingbox:{person: {'xyxy': {'Left': 167, 'Top': 53, 'Right': 299, 'Bottom': 276}},horse: {'xyxy': {'Left': 97, 'Top': 109, 'Right': 347, 'Bottom': 415}}},
caption:a person riding a horse.,
image_embedding:[-0.0, 0.44, 0.12, 0.02, -0.3, -0.52, 0.05, -0.22, -0.2, -0.6, -0.29, 0.1, -0.01, -0.68, -0.14, 0.1, -0.25, -0.69, 0.0, 0.78, -0.21, -0.11, 0.04, 0.48, -0.38, 0.03, -0.57, 0.02, -0.25, -0.37, 0.34, 1.16, 0.2, -0.2, -0.92, -0.82, 0.37, 1.12, 0.51, -0.05, -0.12, 0.55, -0.05, -0.06, -4.73, 0.25, 0.33, -0.6, 0.51, -0.54, -0.4, 0.72, 0.19, 0.66, 0.21, -0.56, -0.89, 0.12, 0.17, -0.2, -0.06, -0.03, 0.44, 0.05]"
009280.jpg,Provide a detailed and accurate description of the image within 50 words.,"A black and white image of the front wheel of a peugeot bicycle. the bicycle is locked to a post, and the front wheel is facing the camera. the bike's spokes and tire are in focus, while the rest of the bike is blurred. the peugeot name is clearly visible on the top tube of the frame.","label_boundingbox:{bicycle: {'xyxy': {'Left': 1, 'Top': 0, 'Right': 500, 'Bottom': 333}}},
caption:a bike,
image_embedding:[0.42, 1.11, 0.59, 0.01, -0.59, -0.43, -0.35, -1.11, -0.46, 0.41, -0.85, -0.88, 0.2, -0.28, 0.33, -0.59, -0.38, 0.51, 0.35, 0.06, -0.45, 0.68, -0.02, 0.09, -0.53, -0.27, 0.29, 0.6, 0.02, 0.87, 0.59, 0.02, 0.76, -0.02, 0.1, -0.09, -0.44, 0.07, -0.48, -0.22, 0.83, 0.2, 0.63, -0.57, -3.01, -0.02, -0.77, -1.17, 0.71, -0.23, -0.46, -0.52, -0.81, 0.89, -0.19, -0.43, 0.4, -1.12, -0.04, 0.58, -0.58, 0.37, -0.25, -0.5]"
006072.jpg,Provide a detailed and accurate description of the image within 50 words.,A selection of bottles and glasses set against a black background with glitter.  Two of the bottles are clear and hold spirits.  A third bottle is dark and appears to be gin.  A decorative silver chain hangs around the bottle of gin.  A large glass sits in the foreground.,"label_boundingbox:{Giraffe: {'xyxy': {'Left': 2, 'Top': 0, 'Right': 316, 'Bottom': 276}},Other Fish: {'xyxy': {'Left': 306, 'Top': 280, 'Right': 499, 'Bottom': 357}},bottle: {'xyxy': {'Left': 149, 'Top': 99, 'Right': 251, 'Bottom': 346}}},
caption:a bottle of wine and a glass.,
image_embedding:[0.32, 0.13, 0.5, 0.54, -0.77, 0.32, -1.3, -0.01, 0.18, 0.23, 0.0, -0.04, -0.25, -0.9, -0.6, 0.28, 0.05, -0.11, -0.41, 0.19, 0.37, -2.03, 0.21, -0.56, 0.13, -0.44, -0.4, 0.23, -0.69, -0.59, -0.62, 0.03, -0.75, -0.98, -0.1, -0.07, 0.52, -0.87, -0.64, 0.03, -0.74, 0.11, -0.43, -0.09, -2.1, -0.04, 0.05, -0.56, -0.06, 0.31, -0.03, 0.09, -0.21, -0.42, -0.24, -0.92, 0.32, -0.59, 0.4, -0.61, -0.36, 0.06, -0.01, -0.4]"
009775.jpg,Provide a detailed and accurate description of the image within 50 words.,"A vibrant blue Hyacinth Macaw perches on a branch, its bright plumage contrasting with the lush green foliage.","label_boundingbox:{Monkey: {'xyxy': {'Left': 35, 'Top': 62, 'Right': 203, 'Bottom': 329}},bird: {'xyxy': {'Left': 32, 'Top': 62, 'Right': 203, 'Bottom': 430}}},
caption:a blue parrot,
image_embedding:[0.01, -0.66, 0.01, 0.01, -0.4, 0.35, 0.66, 0.26, 0.3, -0.58, 0.51, -0.05, -0.53, 0.21, -1.14, -0.71, 0.95, -0.39, -0.55, 1.13, 0.25, -0.38, 0.56, -0.06, -0.64, -0.17, 0.37, -0.17, -0.3, -0.44, -0.06, 0.59, 0.16, 0.43, -0.19, -0.14, 0.35, -0.53, 0.91, 0.64, 0.47, 0.95, 0.45, -0.44, -2.34, 0.41, -0.42, -0.58, -0.32, 0.09, -0.09, 0.09, 0.24, -0.15, 0.38, -0.23, -0.09, -0.18, 0.04, -0.47, 0.14, -0.25, -0.11, -0.27]"
007290.jpg,Provide a detailed and accurate description of the image within 50 words.,"A PIA Boeing 777-300ER sits on the tarmac at an airport, waiting to taxi. the plane is a white and green livery with PIA on the side. In the background are other planes and airport buildings.  A sign in the foreground reads 15R CAT1.","label_boundingbox:{aeroplane: {'xyxy': {'Left': 130, 'Top': 154, 'Right': 324, 'Bottom': 221}}},
caption:an airport,
image_embedding:[0.06, 0.35, -0.04, 0.38, -0.63, -0.17, 0.01, 0.69, -0.1, -0.13, 0.39, -1.83, 0.66, -0.05, 0.02, -0.32, -0.01, -0.46, 0.54, 0.8, 0.52, -0.14, -0.08, -0.06, -0.04, -0.36, -0.4, -0.1, 0.03, 0.43, 0.79, -0.31, -0.65, -0.82, -0.41, -0.41, -0.07, 0.73, 0.54, 0.22, -0.62, 0.33, -0.41, 1.05, -2.52, 0.66, -0.45, -0.09, 0.53, -0.12, 0.33, -0.17, -0.47, -0.42, -0.35, -0.51, -0.18, -0.45, -0.99, 0.04, 0.24, 1.11, 0.01, -0.24]"
009260.jpg,Provide a detailed and accurate description of the image within 50 words.,"A bright orange freight train with BNSF emblazoned on the side sits on tracks near an old, blue and white train station. The train is partly hidden by a black metal fence with a small section of green grass and trees in the background.","label_boundingbox:{train: {'xyxy': {'Left': 0, 'Top': 145, 'Right': 391, 'Bottom': 282}}},
caption:a train coming down the tracks.,
image_embedding:[-0.22, 0.1, 0.29, -0.43, -0.91, 0.25, 0.44, 0.09, 0.03, 0.15, -0.88, 0.68, -0.02, -0.73, 0.19, -1.15, 0.15, 0.18, -0.28, -0.03, 0.62, -0.35, -0.57, 0.36, -0.06, -0.65, -0.22, 0.09, -0.09, 0.92, 0.05, -0.21, -0.18, 1.01, -0.41, -0.31, -0.12, 1.13, 0.76, -0.01, -0.47, 0.42, 0.43, -0.26, -2.79, 0.08, 0.16, 0.02, -0.11, 0.48, -1.18, 0.22, 0.3, -0.56, 0.81, 0.15, -1.1, -0.67, 0.05, 0.05, -0.73, -0.09, -0.09, -0.19]"
002065.jpg,Provide a detailed and accurate description of the image within 50 words.,"A baby boy, wearing a red shirt with a pattern, sits in a high chair and holds a piece of fruit. He is looking down at the fruit and appears to be about to take a bite.  The caption reads 2006.12.21  hold in chair sit to eat fruit - photo by Golden.","label_boundingbox:{chair: {'xyxy': {'Left': 25, 'Top': 21, 'Right': 445, 'Bottom': 377}},person: {'xyxy': {'Left': 88, 'Top': 41, 'Right': 388, 'Bottom': 260}}},
caption:a baby sitting in a high chair.,
image_embedding:[0.05, 0.7, -0.55, 0.51, 0.0, -0.17, 0.11, 0.5, 0.95, -0.85, -0.19, 0.07, 0.22, 0.57, -1.81, -1.0, -0.09, -0.15, 0.02, -0.02, 0.44, -0.14, -0.24, -0.33, 0.2, 0.23, -0.73, 0.08, 0.02, 0.29, -0.63, 0.91, 0.94, -0.71, 0.13, -0.6, -0.79, -0.03, -0.12, -0.61, -0.13, 1.89, -0.21, -0.36, -2.8, 0.16, 0.0, 0.51, 0.92, -0.12, -0.16, -0.21, 0.03, 0.25, -0.17, -0.31, 0.08, 0.1, 0.38, 0.93, 0.67, -0.17, -0.07, -0.29]"
